description_id,description
1026,"The Director of the Jay Monahan Center for Gastrointestinal Health dispels the myths and misconceptions of this second most deadly form of cancer in the US,  providing such vital information as the six biggest lifestyle threats, lifesaving nutritional supplements, pros and cons of new detection tests, and much more. 40,000 first printing."
1027,The warmth and whimsy of Mary Engelbreit's work is even better when shared--and A Good Marriage is the perfect way to spread the joy.
1028,The author presents a memorable collection of observations and commentary that range from an account of a disastrous Christmas pageant to travelogues
1029,"Janet's symbiotic relationship with her best friend is put to the test by the arrival of a controlling boyfriend in Dyan Sheldon's witty, diary-style sequel to PLANET JANET.Now that her mum, the Mad Cow, has split from her cad of a dad, Janet Bandry — despite her Creative, Artistic Mind — is leaving the Dark Phase to enter the Work Force.  Only one thing can ease the physical torture of waitressing at a local Mexican restaurant — a dreamy waiter named Ethan who definitely has romantic designs on . . . Disha, Janet's best friend.  Janet, of course, is mature enough to get over it — except for the fact that Disha now won't hang out with anyone but her possessive new beau.  And if that's not appalling enough, even the Mad Cow is newly besotted — with a bearded suitor who has her singing old folk songs and boycotting evil corporate greed.  Good thing Janet is sensible enough to start an advice column for the school paper and has her mates David and Marcus to talk to, as the entire female species seems to have gone insane.Detailed in humorously melodramatic diary entries and including a glossary of Britishisms, PLANET JANET IN ORBIT follows the precarious path of a comically self-absorbed teen who is learning some useful lessons about loyalty, family, and friendship."
1030,"Paul Boller's hugely admired anecdotal histories have consistently shown us new aspects and undiscovered sides to the lives of presidents and those around them. Presidential Inaugurations is no exception, as it illuminates the new life of the president from the moment he is elected to the moment he takes office. As might be expected from the most knowledgeable observer of American presidents, every chapter brings fresh delights that range from the sublime to, inevitably, the ridiculous. Boller accompanies Lincoln on his mysterious first entrance into Washington and renders the poignancy of FDR's last inauguration. There is the surprising appearance of Tallulah Bankhead at Truman's inauguration and the charming report on Eisenhower's 1953 inaugural by Jacqueline Bouvier. Highlighting inaugural moments from 1789 to 2001, Presidential Inaugurations presents the United States displaying its pride, its passions, and its prejudices as it greets a new leader."
1031,"In this compelling memoir, Brooke Shields talks candidly about her experience with postpartum depression after the birth of her daughter, and provides millions of women with an inspiring example of recovery. When Brooke Shields welcomed her newborn daughter, Rowan Francis, into the world, something unexpected followed--a crippling depression. Now, for the first time ever, in Down Came the Rain, Brooke talks about the trials, tribulations, and finally the triumphs that occurred before, during, and after the birth of her daughter."
1032,"Things like this don't happen to people like us. That's what Lachlan Harriot thinks as he watches his wife, Susie, led to jail in handcuffs. Yes, Susie, a psychologist, was found covered in blood near the spot where one of her clients appears to have been murdered. But Susie is not a killer, Lachlan thinks. She's my wife. She's our child's mother. Secrets lurk behind closed doors, however, a dark truth made chillingly clear as Lachlan's efforts to prove Susie's innocence uncover an entire secret history--illicit affairs, false identities, unimaginable deception--and this brilliantly acclaimed, page-turning novel speeds toward a conclusion as shocking as it is ingenious."
1033,"This is the memoir of an ordinary woman—a mother, a daughter, a psychologist, a wife—who tells the tale of her spiraling descent into a severe, debilitating depression. Undercurrents pioneers a new literature about women and depression that offers a vision of action instead of victimhood, hope instead of despair."
1034,"A little over thirteen centuries ago, the prophet Muhammad converted a few Arab desert tribes to the belief in a single god, Allah, thus founding the religion of Islam. Within a century, that belief had created one of history's mightiest empires—and today Islam continues to shape events around the globe.This comprehensive guide offers an informative and insightful introduction to Islam both as a religion and as a political-economic force. It tells the story of Muhammad—and the rise of Islam; outlines the sacred book, the Koran; explains ""the five pillars of faith""; explores the interplay between religion and government; describes the differences that divide Islam; and, above all, shows the influence of Islam on world affairs. This second revised edition provides crucial new material on the Islamic community today, including discussion of the Gulf War and the Salman Rushdie affair; the rise and ebb of fundamentalist fervor in Iran, Algeria, and elsewhere; and the relationships among different factions of the Islamic faith. There are also updated descriptions of internal politics in Syria, Egypt, Pakistan, and other Islamic nations. Complete with glossary, bibliography. and index,Understanding Islam is engrossing, essential reading for both students and all who seek a clearer understanding of the world in which we live."
1035,"Unfolding with the grandeur and suspenseful inevitability of real life, Mason's Retreat tells the story of a family on the Eastern Shore of Maryland on the eve of World War II.After many years of extravagant expatriate living in England, Edward and Edith Mason and their sons, Sebastien and Simon, sail to America to take up residence at the Retreat, the crumbling Mason family estate on the Chesapeake Bay. A man of large appetite and grand illusion, Edward Mason is determined to make a go of it as a gentleman farmer, even though events always seem to conspire against him. Edith and their two sons begin to flourish in America, tasting for the first time the happiness that comes from a sense of freedom and belonging. Yet the family's drift toward destruction inexorably quickens, exposing at the heart of this remarkable novel the powerful interconnections between character, history, and fate; the isolation of class and race; and the corrosive effect of secrets within a family."
1036,Provides an overview of the Milan Family Therapy Team's work from its inception to its present state. The authors show how the variant and invariant family therapy methods evolved and provide the understanding necessary to allow readers to adapt these approaches to their own work.
1037,"Why do they rub food in their hair? Why do they want to hear the same book over and over? Why do they love being naked? Between the ages of one and three, children can be delightful, affectionate, intelligent explorers of their newfound world. They can also be holy terrors. Grounded in up-to-date research, The Secret Lives of Toddlers demystifies 52 common behaviors of toddlers, while helping parents appreciate the miraculous development of their children. An entertaining, reassuring guide to toddler behavior, this book shows parents how to get through their kids' toddlerhood with affection, humor, and authority. With explanations from pediatricians, child development experts, and behavioral psychologists, parents will learn to:- Understand the world from a child's point of view- Learn which bad behaviors need intervention and which can be ignored- Cultivate good manners and reward good behavior- Reduce their own frustration- Play, speak, read, and interact with their toddler in healthy ways"
1038,"From the Creator and Coauthor of the Popular 101 Questions Children Ask about...Series--A Practical Guide on How to Build a Strong, Tangible Spiritual Foundation in Your Children&#39;s LivesMany of today&#39;s parents remember their own childhood experiences with God and religion as abstract and confusing, leaving them with more questions than answers. It is with this in mind that Rick Osborne has created Talking to Your Children about God, an indispensible guide for parents who want to be prepared for those ""hard-to-answer"" questions about God.  Full of helpful tips and suggestions, this book provides answers that will satisfy the inquisitive and persistent nature of kids when they pose such difficult questions as: Why can&#39;t I see God? What&#39;s so important about the Bible? Why do we go to church? What should I say when I pray? Does God watch everything I do?What is heaven like?What are angels?I highly recommend Rick&#39;s resources to every parent. [He] is one of God&#39;s gifts to parents.""--Josh McDowell, acclaimed Christian author and speaker."
1039,"Over the years, tales about the creative process have flourished-tales of sudden insight and superior intelligence and personal eccentricity. Coleridge claimed that he wrote ""Kubla Khan"" in one sitting after an opium-induced dream. Poe declared that his ""Raven"" was worked out ""with the precision and rigid consequence of a mathematical problem."" D. N. Perkins discusses the creative episodes of Beethoven, Mozart, Picasso, and others in this exploration of the creative process in the arts, sciences, and everyday life."
1040,"The best-selling author of Simple Abundance explores the nine stages essential to living an authentic life, combining storytelling and interpretation to lead women along a path to self-fulfillment and happiness. 500,000 first printing. One Spirit Main."
1041,"In the winter of 1995/96, bestselling nutritionist Dr. Gary Null talked with more than a hundred leading alternative health practitioners from all over the country to ascertain which approaches they found most effective when treating the health problems that affect women most. He then conducted a wide-ranging computer search of studies reported in the medical literature on the same topics. The result is The Woman's Encyclopedia of Natural Healing, a health compendium for women, founded in holistic principles and featuring the most up-to-date clinical experiences and published research. Emphasizing tried and proven alternative approaches, The Woman's Encyclopedia of Natural Healing complements works based in conventional modalities such as The New Our Bodies, Ourselves. Divided into 28 chapters, each topic includes a thorough discussion of the health problem and the recommended alternative approaches to prevention and treatments."
1042,"Once upon a time in rural Maine, a big bear found a briefcase under a tree. Hoping for food, he dragged it into the woods, only to find that all it held was the manuscript of a novel. He couldn't eat it, but he did read it, and decided it wasn't bad. Borrowing some clothes from a local store, and the name Hal Jam from the labels of his favorite foods, he headed to New York to seek his fortune in the literary world.Then he took America by storm.The Bear Went Over the Mountain is a riotous, magical romp with the buoyant Hal Jam as he leaves the quiet, nurturing world of nature for the glittering, moneyed world of man. With a pitch-perfect comic voice and an eye for social satire to rival Swift or Wolfe, bestselling author William Kotzwinkle limns Hal's hilarious journey to New York, Los Angeles, and the great sprawling country in between, where a bear makes good despite his animal instincts, and where money-hungry executives see not a hairy beast with a purloined novel, but a rough-hewn, soulful, media-perfect nature guy who just might be the next Hemingway."
1043,"Addresses the causes of insomnia, restless legs disorder, and sleep apnea, exploring how changes in diet, exercise, natural supplements, and mind/body therapies can provide lasting relief."
1044,"Mom Really Does Know Best   Whether you’re a new grad living on your own or you’re moving far from the place Mom calls home, Pocket Mom is there when you need it! This book is a collection of Mom’s essential wisdom, from cooking, housekeeping, safety, and hygiene tips to advice on life, love, and getting along. Learn how to:        •  Load a dishwasher      •  Cook comfort food      •  Prevent mold and mildew      •  Prioritize your outrage      •  Dress for a first date      •  Iron a shirt      •  Argue properly      •  Install shelf paper      •  Sort your laundry      •  Fight germs       •  Recognize true love   . . . and much more. When it comes to living in the real world, Mom really does know best!"
1045,"The #1   bestselling chapter book series of all time celebrates 25 years with new   covers and a new, easy-to-use numbering system! Getting the facts behind the   fiction has never looked better.  Track   the facts with Jack and Annie!! When Jack and Annie got back from their adventure in Magic Tree House   #2: The Knight at Dawn, they had lots of questions. How were castles   built? What was it like to live inside a castle? How did boys train   to become knights? Did horses really wear armor? Find out the   answers to these questions and more as Jack and Annie track the facts. Filled with up-to-date information, photos, illustrations, and fun tidbits   from Jack and Annie, the Magic Tree House Fact Trackers are the perfect way   for kids to find out more about the topics they discovered in their favorite   Magic Tree House adventures. And teachers can use Fact Trackers alongside   their Magic Tree House fiction companions to meet common core text pairing   needs.   Did you know that there’s a Magic Tree House book for every kid? Magic Tree House: Adventures with Jack and Annie, perfect for readers who   are just beginning chapter books Merlin Missions: More challenging adventures for the experienced   reader Super Edition: A longer and more dangerous adventure Fact Trackers: Nonfiction companions to your favorite   Magic Tree House adventures Have more fun with Jack and Annie at MagicTreeHouse.com!"
1046,"Be careful what you wish for. A woman who was touched by tragedy as a child now lives a quiet life, keeping other people at a cool distance. She even believes she wants it that way. Then one day she utters an idle wish and, while standing in her house, is struck by lightning. But instead of ending her life, this cataclysmic event sparks a strange and powerful new beginning.After the lightning strike, the chill in her spirit starts to have physical manifestations. She feels frozen from the inside out, and everything red looks as colorless as snow. Hearing of a fellow lightning-strike survivor - a man who was apparently dead for forty minutes, then simply got up and walked away - she goes in search of him. Perhaps Lazarus Jones, as he is known, can teach her to live without fear. He turns out to be her perfect opposite, a man whose breath can boil water and whose touch scorches. As an obsessive love affair begins between them, both hide their most dangerous secrets - what happened in the past that turned one to ice and the other to fire. And everyone in her fragile network of friends and family will be drawn into the conflagration of their joining."
1047,"Tottem is on his way to Minneapolis for Bottom’s birthday, but he loses his way in a Magic Cornfield. One minute he’s in Dime Box, Texas, and the next he’s in Angels Camp, California. He’s having a hard time finding his way, but a traveling mailbox is always nearby and sends his postcards on to Cousin Bottom. The postcards that tell Tottem’s story show the fantastic creatures and other curiosities that Tottem encounters on his travels through the cornfield. Authentic stamps and unique postmarks from the real American cities and towns add to the magic."
1048,"This book is for anyone who wants to excel at a school science fair.  It gives complete guidance for every stage of a successful project, from brainstorming ideas to final presentation. More than a ""recipe-style"" science fair book, this work promotes the understanding of real science.  Twenty prizewinning projects from top national competitions are included: ? How to make the best chocolate-chip cookies-scientifically! ? Do lefties have slower reaction times than right-handers? ? Does grass grow faster if you cut it short? And more! Kids will love the hip, engaging text, filled with fascinating trivia and wacky science jokes, as well as the very funny illustrations. Solid science presented in a compelling manner makes this a stellar addition to the category."
1049,"Essays discuss American history, slavery, the Holocaust, prisons, the military, and American authors"
1050,"A stunning gift book with lush photography contains easy-to-follow recipes to disguise food as ordinary objects found in and around the home, such as Shirt-and-Pants Cake, Potato and Stringbean flip-flops, and a Jello-O aquarium with Swedish fish."
1051,"Explains how the human nose works, tells how to identify chronic nose allergies, and recommends the best nasal sprays, decongestants, and antihistamines"
1052,"Fifty of the world's most talented photographers spend a full day recording key moments in the lives of a wide diversity of American women--their daily lives, challenges, joys and accomplishments, and roles in the workplace, family, and community--in a remarkable assortment of photographs, accompanied by essay-length personal profiles, narrative captions, and extended quotes. 150,000 first printing."
1053,"From the Master of Horror comes the first gripping book in the twelve book New York Times bestselling Saga of Darren Shan. Start the tale from the beginning in the book that inspired the feature film The Vampire's Assistant and petrified devoted fans worldwide.A young boy named Darren Shan and his best friend, Steve, get tickets to the Cirque Du Freak, a wonderfully gothic freak show featuring weird, frightening half human/half animals who interact terrifyingly with the audience. In the midst of the excitement, true terror raises its head when Steve recognizes that one of the performers-- Mr. Crepsley-- is a vampire! Stever remains after the show finishes to confront the vampire-- but his motives are surprising! In the shadows of a crumbling theater, a horrified Darren eavesdrops on his friend and the vampire, and is witness to a monstrous, disturbing plea. As if by destiny, Darren is pulled to Mr. Crepsley and what follows is his horrifying descent into the dark and bloody world of vampires. This is the beginning of Darren's story."
1054,"Come on a journey into the heart of matter&#151;and enjoy the process!&#151;as a brilliant scientist and entertaining tour guide takes you on a fascinating voyage through the Periodic Kingdom, the world of the elements. The periodic table, your map for this trip, is the most important concept in chemistry. It hangs in classrooms and labs throughout the world, providing support for students, suggesting new avenues of research for professionals, succinctly organizing the whole of chemistry. The one hundred or so elements listed in the table make up everything in the universe, from microscopic organisms to distant planets. Just how does the periodic table help us make sense of the world around us? Using vivid imagery, ingenious analogies, and liberal doses of humor P. W. Atkins answers this question. He shows us that the Periodic Kingdom is a systematic place. Detailing the geography, history and governing institutions of this imaginary landscape, he demonstrates how physical similarities can point to deeper affinities, and how the location of an element can be used to predict its properties. Here&#39;s an opportunity to discover a rich kingdom of the imagination kingdom of which our own world is a manifestation."
1055,"Rob Dewar is driving home when he hears on the radio that his old friend and climbing partner, Jamie Matthewson, has fallen to his death on a daredevil solo climb. Although he not spoken to Jamie in many years, he turns his car around and heads to Wales to comfort Jamie's widow, Ruth. This is a detour that will take Rob on a journey back to the past, to his youth, and to his own obsessive climbing days, when he made the pivotal choices that now come back to haunt him. While unraveling the unanswered questions about Jamie's death, he confronts decades-old betrayals and lies. And it is the secrets about Jamie's life that lead Rob to the truth about his own mother's experiences in London before and during World War II.Simon Mawer unveils the layers of history connecting a group of people intertwined over the years by love, competition, and lust. In the shadow of one love triangle is the story of another, and as we follow the characters from London during the Blitz to the mountain ranges of the Alps and back to present-day Wales, Mawer reveals how the agonies of the past weigh upon the present."
1056,"An exploration of the history, development, marketing, and appeal of American stock car racing traces the sport's evolution from moonshine runners all the way to today's multimillion dollar racing circuit, profiling some of the sport's great personalities. Original."
1057,"The spirited itsy bitsy spider has captured the hearts of generations of children in the much-loved nursery rhyme. Now she's back—on a new magical journey! This all-new adventure for the itsy bitsy spider has exciting encounters with a fan, a mouse, a rocking chair, a cat, and a big maple tree. Finally, the itsy bitsy spider finds a lovely spot to spin a new silky web. Iza Trapani’s vibrant watercolor illustrations paired with a playful rhythm makes this new take on an old favorite feel like an instant classic. A perfect read-aloud; children will enjoy time and again the delightful antics of the energetic itsy bitsy spider."
1058,"The captivating, inside story of the woman who helmed the Washington Post during one of the most turbulent periods in the history of American media.Winner of the Pulitzer Prize for BiographyIn this bestselling and widely acclaimed memoir, Katharine Graham, the woman who piloted the Washington Post through the scandals of the Pentagon Papers and Watergate, tells her story—one that is extraordinary both for the events it encompasses and for the courage, candor, and dignity of its telling.    Here is the awkward child who grew up amid material wealth and emotional isolation; the young bride who watched her brilliant, charismatic husband—a confidant to John F. Kennedy and Lyndon Johnson—plunge into the mental illness that would culminate in his suicide. And here is the widow who shook off her grief and insecurity to take on a president and a pressman’s union as she entered the profane boys’ club of the newspaper business.   As timely now as ever, Personal History is an exemplary record of our history and of the woman who played such a shaping role within them, discovering her own strength and sense of self as she confronted—and mastered—the personal and professional crises of her fascinating life."
1059,"WINNER OF THE PULITZER PRIZE FOR DRAMARecently revived on Broadway in a production directed by Joe Mantello, starring two-time Oscar winner Glenda Jackson and Tony winner Laurie MetcalfEarning a Pulitzer and Best Play awards from the Evening Standard, Critics Circle, and Outer Critics Circle, among others, when it premiered, Edward Albee has, in Three Tall Women, created a masterwork of modern theater.  As an imperious, acerbic old woman lies dying, she is tended by two other women and visited by a young man.  Albee’s frank dialogue about everything from incontinence to infidelity portrays aging without sentimentality.  His scenes are charged with wit, pain, and laughter, and his observations tell us about forgiveness, reconciliation, and our own fates.  But it is his probing portrait of the three women that reveals Albee’s genius.  Separate characters on stage in the first act, yet actually the same “everywoman” at different ages in the second act, these “tall women” lay bare the truths of our lives—how we live, how we love, what we settle for, and how we die.  Edward Albee has given theatergoers, critics, and students of drama reason to rejoice."
1060,"Do you believe that spending $15,000 on a media center is vulgar, but that spending $15,000 on a slate shower stall is a sign that you are at one with the Zenlike rhythms of nature? Do you work for one of those visionary software companies where people come to work wearing hiking boots and glacier glasses, as if a wall of ice were about to come sliding through the parking lot? If so, you might be a Bobo.  In his bestselling work of ""comic sociology,"" David Brooks coins a new word, Bobo, to describe today's upper class -- those who have wed the bourgeois world of capitalist enterprise to the hippie values of the bohemian counterculture. Their hybrid lifestyle is the atmosphere we breathe, and in this witty and serious look at the cultural consequences of the information age, Brooks has defined a new generation."
1061,"Richard Hayes gets a call late one night: His sister has murdered her husband. The origins of the violence probably lie in the complex story of their family's past, and in order to save Claire, Richard is forced to go back and back, down and down, to try to unearth what really happened at the family farm, to uncover the truth about his wealthy and respected family, and his own possible role in shocking events. Was Claire's act self-defense? Did she believe, in a vivid moment of painful memory, that the man she killed was someone else?Like Pat Conroy's The Prince of Tides, This Never Happened explores how secrets buried in a family's past can threaten to destroy the present and how, in the process of helping his sister, a man begins to find himself and come alive again - in a new love affair, and in his relationship to the past, present, and future."
1062,"Traces the life of John Glenn, a fighter pilot in World War II and Korea, a test pilot who set the transcontinental speed record, first American to orbit the Earth, successful businessman, and senator from Ohio"
1063,"John Gray shows that by understanding the differences between men and women in the workplace, anyone can identify and respond to various business approaches in a manner that earns greater respect and promotes increased cooperation. By recognizing how men and women interpret behaviors and reactions differently, a person can make more informed choices of how to make the best impression.Mars and Venus in the Workplace analyzes the differences in the ways men and women communicate, solve problems, react to stress, earn respect, promote themselves, experience emotional support, minimize conflict, score points, view sex, and ask for what they want. By showing the many ways men and women misunderstand and misinterpret each other in the workplace, John Gray offers practical advice on reducing unnecessary conflict and frustration. Filled with his trademark communications charts and practical advice on everyday office issues, Mars and Venus In The Workplace will enable readers to achieve their goals and to make the workplace a source of fulfillment."
1064,"From toddlers to teens, children are full of questions. While we all want to give the right answers, we don't always know whether to be detailed or discreet, protective or honest.  Drawn from the advice and experiences of dozens of psychological, medical, and educational experts, as well as countless parents, this timely and telling book offers answers to all the questions kids are bound to ask. Learn:  * How to jumpstart a conversation and simplify complicated topics * How to know the best age to talk about sex, drugs, and other subjects * Why once isn't always enough-and why some topics need to be revisited * Whether some questions are best left unanswered * How to gain a child's confidence and respect"
1065,"'My words will become a fire in your mouth that you cannot contain. They will burn until you have warned my Bride. Warn her before it is too late!'So begins a dramatic journey into holiness, as newlyweds Brandon and Sarah Martus accept the call to become Revelation’s two prophets.This is not another end-times thriller, but one of the most intense and thought-provoking pieces of Christian fiction to come alone in years. As the couple prepare for the final showdown against Satan himself, they must live and proclaim the truths Christ has given his end-times church. From America, to archaeological ruins dating back to Bible times, to the Himalayas, and finally to Jerusalem, Brandon and Sarah battle the forces of man and hell while learning the true cost of following Christ . . . and experiencing a Love far deeper than either could have imagined."
1066,"Iola Leroy, mulatto who becomes a slave when her white father dies, finds that through her maternal ancestors she is heir to a black family, searches for her true community and her real family"
1067,Pope John Paul II speaks out on some of the major issues confronting humankind at the dawn of the twenty-first century
1068,"The La Scala Encyclopedia of the Opera is a comprehensive and easy-to-consult reference book covering, from A to Z, the varied repertoire of world opera. More than 450 operas, spanning the last four centuries, are detailed, from Jacopo Peri's Euridice through Verdi and Wagner, and up to more modern works. Each opera entry lists the specifics concerning the author, date, town, and theater of the work's first performance and includes information about the singers, as well as a summary of the plot and a commentary on the critical acclaim and public reception of the most famous performances.This encyclopedia also introduces all the performers and composers who have been associated with opera, from its origins through the popularity it enjoys today. Many entries are accompanied by sections that focus on specific themes, such as singing dynasties, the relationships between opera and cinema and between the opera singer and the impresario, the origins of American opera, the artistic and musical life that accompanies a festival, madness in opera, and operas as symbols of great theaters. This is the essential opera reference guide; up-to-date, informative, and beautifully illustrated, it can be consulted with equal ease by lay opera fans and scholars alike."
1069,"Darren Shan and Mr. Crepsley embark on a dangerous trek to the very heart of the vampire world. But they face more than the cold on Vampire Mountain-the vampaneze have been there before them.Will a meeting with the Vampire Princes restore Darren's human side, or turn him further toward the darkness? Only one thing is certain-Darren's initiation into the vampire clan is more deadly than he can ever have imagined."
1070,"While studying kung fu to try to overcome his clumsiness, Mark learns something that may interfere with his friends' plans for a group Halloween costume."
1071,"In James Patterson's blockbuster series, fourteen-year-old Maximum Ride, better known as Max, knows what it's like to soar above the world. She and all the members of the ""flock""--Fang, Iggy, Nudge, Gasman and Angel--are just like ordinary kids--only they have wings and can fly. It may seem like a dream come true to some, but their lives can morph into a living nightmare at any time...like when Angel, the youngest member of the flock, is kidnapped and taken back to the ""School"" where she and the others were experimented on by a crew of wack jobs. Her friends brave a journey to blazing hot Death Valley, CA, to save Angel, but soon enough, they find themselves in yet another nightmare--this one involving fighting off the half-human, half-wolf ""Erasers"" in New York City. Whether in the treetops of Central Park or in the bowels of the Manhattan subway system, Max and her adopted family take the ride of their lives. Along the way Max discovers from her old friend and father-figure Jeb--now her betrayed and greatest enemy--that her purpose is save the world--but can she?"
1072,"The extraordinary breakthrough management program--heralded by GE, Motorola, and AlliedSignal--that is sweeping corporate America with its unprecedented ability to achieve superior financial results.Six Sigma is the most powerful breakthrough management tool ever devised, promising increased market share, cost reductions, and dramatic improvements in bottom-line profitability for companies of any size. The darling of Wall Street, it has become the mantra of Fortune 500 boardrooms around the world because it works.What is Six Sigma? It is first and foremost a business process that enables companies to increase profits dramatically by streamlining operations, improving quality, and eliminating defects or mistakes in everything a company does, from filling out purchase orders to manufacturing airplane engines. While traditional quality programs have focused on detecting and correcting defects, Six Sigma encompasses something broader: It provides specific methods to re-create the process itself so that defects are never produced in the first place.Most companies operate at a three- to four-sigma level, where the cost of defects is roughly 20 to 30 percent of revenues. By approaching Six Sigma--fewer than one defect per 3.4 million opportunities--the cost of quality drops to less than 1 percent of sales.This is because the highest quality also results in the lowest costs. When GE reduced its costs from 20 percent to less than 10 percent, it saved a billion dollars in just two years--money that goes directly to the bottom line. This is the reason Wall Street and corporations as diverse as Sony, Ford, Nokia, Texas Instruments, Canon, Hitachi, Lockheed Martin, American Express, Toshiba, DuPont, and Polaroid have embarked on corporate-wide Six Sigma programs.Six Sigma should be of paramount importance to every forward-thinking executive and manager determined to make their company world-class in their industry."
1073,"It was the greatest invasion the world had ever seen. Officially known as ""Operation Overlord,"" this World War II assault began on the morning of June 6, 1944. Thousands of American, British, and Canadian soldiers aboard hundreds of landing craft attacked beaches along nearly fifty miles of France's coastline in Normandy. Backing them up were the big guns of some of the mightiest ships in the Allied navies, and countless bomber, fighter, and transport aircraft. By the end of that day, an Allied army had made it ashore despite sometimes fierce opposition, signaling the end of Nazi tyranny over Europe. Using the real-life stories of young men caught up in this great event, along with original paintings, photographs, and memorabilia, D-Day, the book, will present a compelling account of this world-changing day. Shelly Tanaka is the author of many acclaimed books of nonfiction for children, including the first two books in The Day That Changed America Series: Gettysburg and The Alamo. She is also the author of Attack on Pearl Harbor and many of the books in the ""I Was There"" series."
1074,"In 1789, when the First Congress met in New York City, the members traveled to the capital just as Roman senators two thousand years earlier had journeyed to Rome, by horse, at a pace of some five miles an hour. Indeed, if sea travel had improved dramatically since Caesar's time, overland travel was still so slow, painful, and expensive that most Americans lived all but rooted to the spot, with few people settling more than a hundred miles from the ocean (a mere two percent lived west of the Appalachians). America in effect was just a thin ribbon of land by the sea, and it wasn't until the coming of the steam railroad that our nation would unfurl across the vast inland territory.     In Railroads Triumphant, Albro Martin provides a fascinating history of rail transportation in America, moving well beyond the ""Romance of the Rails"" sort of narrative to give readers a real sense of the railroad's importance to our country. The railroad, Martin argues, was ""the most fundamental innovation in American material life."" It could go wherever rails could be laid--and so, for the first time, farms, industries, and towns could leave natural waterways behind and locate anywhere. (As Martin points out, the railroads created small-town America just as surely as the automobile created the suburbs.) The railroad was our first major industry, and it made possible or promoted the growth of all other industries, among them coal, steel, flour milling, and commercial farming. It established such major cities as Chicago, and had a lasting impact on urban design. And it worked hand in hand with the telegraph industry to transform communication. Indeed, the railroads were the NASA of the 19th century, attracting the finest minds in finance, engineering, and law.     But Martin doesn't merely catalogue the past greatness of the railroad. In closing with the episodes that led first to destructive government regulation, and then to deregulation of the railroads and the ensuing triumphant rebirth of the nation's basic means of moving goods from one place to another, Railroads Triumphant offers an impassioned defense of their enduring importance to American economic life. And it is a book informed by a lifelong love of railroads, brimming with vivid descriptions of classic depots, lavish hotels in Chicago, the great railroad founders, and the famous lines. Thoughtful and colorful by turn, this insightful history illuminates the impact of the railroad on our lives."
1075,"The award-winning actress and talk-show host recreates her experiences while working on the film version of Toni Morrison's acclaimed novel Beloved, in an evocative account that combines Oprah's personal journals with the thoughts of Jonathan Demme, Danny Glover, and others who worked on the movie. 250,000 first printing."
1076,"An illustrated, definitive guide to canine care and training covers subjects ranging from choosing the right dog to understanding its particular dietary needs and emphasizes the cultivation of companionship between dogs and their owners. Reprint. 25,000 first printing."
1077,"This beautifully illustrated padded storybook is a perfect way to share the true classic fairytale of  Cinderella with your little princess! Plus with it's sparkly padded cover, this book is a wonderful companion to the Cinderella: Special Edition DVD."
1078,"Every morning the palace clock awakens Cinderella for a day of hard work. But one magical night, she gets to attend the ball-until the clock strikes twelve. Will she have enough time to make her dreams come true? Her fairy tale comes to life in this storybook, complete with an elegant clock-the perfect addition to every little girl's bedroom."
1079,"Working as a health-care analyst for Ohio Senator Robert Gary, idealistic young intern and hypochondriac Samantha Joyce struggles to balance her seventy-hour work week, a constantly shifting set of neuroses, and a new romance as she makes her way through the labyrinthine complexities of life in the nation's capital. A first novel. Reprint."
1080,"Malika Oufkir has spent virtually her whole life as a prisoner. Born in 1953, the eldest daughter of General Oufkir, the King of Morocco's closest aide, Malika was adopted by the King at the age of five, and was brought up as the companion to his little daughter. Spending most of her childhood and adolescence in the seclusion of the court harem, Malika was one of the most eligible heiresses in the kingdom, surrounded by luxury and extraordinary privilege."
1081,"On a notorious street where propriety and decadence clash, in the basement of a newly renovated bar, the bones of a woman and child are discovered beneath a cement floor. It's an unusually gruesome find, even for Fleshmarket Alley. When Inspector John Rebus is called to investigate, every fact he finds unleashes a host of new questions. Are the bones those of a mother and child? Are they actual human remains or fakes? Were they planted there - and if so, why?It could be nothing more than a ruthless and enterprising pub owner looking to create a local legend that will help lure trade. Or it could be something far worse - something as grisly as the death of a recent immigrant found brutally murdered at a local housing project, or the murder of Donald Cruikshank, a recently paroled rapist whose body is found just as a young woman goes missing. The missing girl is a friend of Inspector rebus's colleague Detective Siobhan Clarke, and Siobhan is shocked to find herself in the same intricate web of murderers as Rebus - all somehow tied to that pile of bones under Fleshmarket Alley.In a race to stop the killings before more bodies turn up - even as the possibility of romantic entanglements distracts and entices them - rebus and Siobhan plumb the darkest corners of their beloved city and confront the lawless, conscienceless men who dwell there."
1082,"All kinds of bugs celebrate Easter in this book filled from award-winner David Carter!All kinds of bugs are hiding behind colorful Easter eggs, just waiting for you to find them! (And there are lots more fun surprises, too!)"
1083,"Describes how companies such as Hewlett-Packard, AT&T, Boeing, and the Mayo Clinic assemble teams of specialists with selected expertise and experience to design products and achieve other creative goals. Details the mechanics of designing and managing such a team. Annotation c. by Book News, Inc., Portland, Or."
1084,"Pitch, a former journalist and the author of numerous books, uses letters, diaries, journals, and newspapers from both sides of the Atlantic to describe this key episode of American history. He also tells how Francis Scott Key was inspired to write an epic poem which became our National Anthem.  The tale is expanded to cover not only events surrounding the burning of Washington but also a campaign that evolved into the bombardment of Fort McHenry and the final clash at New Orleans. Annotation c. by Book News, Inc., Portland, Or."
